audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\damage_reporting\damage,1.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,2.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,3.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,4.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,5.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,6.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,7.wav,车有损伤,车有损伤,we have damage
\voice\damage_reporting\damage,8.wav,车有损伤,车有损伤,we have damage
\voice\flags\red-yellow-flag,1.wav,红黄旗，路面有异物,红黄旗，路面有异物,red and yellow flag
\voice\flags\red-yellow-flag,2.wav,红黄旗，路面有异物,红黄旗，路面有异物,red and yellow flag
\voice\flags\red-yellow-flag,3.wav,红黄旗，路面有异物,红黄旗，路面有异物,red and yellow flag
\voice\flags\red-yellow-flag,4.wav,红黄旗，路面有异物,红黄旗，路面有异物,red and yellow flag
\voice\flags\red-yellow-flag,5.wav,红黄旗，路面有异物,红黄旗，路面有异物,red and yellow flag
\voice\flags\red-yellow-flag,6.wav,红黄旗，路面有异物,红黄旗，路面有异物,red and yellow flag
\voice\flags\slippery-surface-flag,1.wav,路面湿滑,路面湿滑,slippery surface
\voice\flags\slippery-surface-flag,2.wav,路面湿滑,路面湿滑,slippery surface
\voice\flags\slippery-surface-flag,3.wav,路面湿滑,路面湿滑,slippery surface
\voice\flags\slippery-surface-flag,4.wav,路面湿滑,路面湿滑,slippery surface
\voice\flags\slippery-surface-flag,5.wav,路面湿滑,路面湿滑,slippery surface
\voice\flags\slippery-surface-flag,6.wav,路面湿滑,路面湿滑,slippery surface
\voice\fuel\not_enough_laps_for_average,1.wav,圈数不够，算不出平均油耗,圈数不够，算不出平均油耗,not enough laps for average
\voice\fuel\not_enough_laps_for_average,2.wav,圈数不够，算不出平均油耗,圈数不够，算不出平均油耗,not enough laps for average
