audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\acknowledge\OK,1.wav,好的,好的,okay
\voice\acknowledge\OK,10.wav,收到,收到,acknowledged
\voice\acknowledge\OK,11.wav,收到,收到,acknowledged
\voice\acknowledge\OK,2.wav,明白,明白,understood
\voice\acknowledge\OK,3.wav,收到,收到,acknowledged
\voice\acknowledge\OK,4.wav,收到,收到,acknowledged
\voice\acknowledge\OK,5.wav,收到,收到,acknowledged
\voice\acknowledge\OK,6.wav,收到,收到,acknowledged
\voice\acknowledge\OK,7.wav,收到,收到,acknowledged
\voice\acknowledge\OK,8.wav,收到,收到,acknowledged
\voice\acknowledge\OK,9.wav,收到,收到,acknowledged
\voice\acknowledge\cut_warnings_disabled,1.wav,好的，不再提醒切角,好的，不再提醒切角,"okay, no more cut-track warnings"
\voice\acknowledge\cut_warnings_disabled,2.wav,明白，不启用切角警告,明白，不启用切角警告,"understood, no cut-track warnings"
\voice\acknowledge\cut_warnings_disabled,3.wav,好的，不再提醒切角,好的，不再提醒切角,"okay, no more cut-track warnings"
\voice\acknowledge\cut_warnings_enabled,1.wav,好的，我们会提醒切角,好的，我们会提醒切角,"okay, we'll give cut-track warnings"
\voice\acknowledge\cut_warnings_enabled,2.wav,明白，我们会提醒赛道界限,明白，我们会提醒赛道界限,"understood, we'll warn about track limits"
\voice\acknowledge\cut_warnings_enabled,3.wav,好的，我会提醒切角,好的，我会提醒切角,"okay, I'll give cut warnings"
\voice\acknowledge\deltasDisabled,1.wav,收到，不再报时间差,收到，不再报时间差,"copy that, no more time deltas"
\voice\acknowledge\deltasDisabled,2.wav,收到，不再报时间差,收到，不再报时间差,"acknowledged, no more deltas"
\voice\acknowledge\deltasDisabled,3.wav,好的，不再报时间差,好的，不再报时间差,"okay, no more deltas"
\voice\acknowledge\deltasEnabled,1.wav,好的，我来报差距,好的，我来报差距,"okay, I'll tell you the gaps"
\voice\acknowledge\deltasEnabled,2.wav,好的，我来报差距,好的，我来报差距,"okay, I'll tell you the gaps"
\voice\acknowledge\deltasEnabled,3.wav,好的，我来报差距,好的，我来报差距,"okay, I'll read out those gaps"
\voice\acknowledge\deltasEnabled,4.wav,收到，每圈报时间差,收到，每圈报时间差,"acknowledged, time deltas every lap"
\voice\acknowledge\didnt_understand,1.wav,没听清,没听清,I didn't catch that
\voice\acknowledge\didnt_understand,10.wav,说清楚点，听不到你,说清楚点，听不到你,"speak more clearly, I can't hear you"
\voice\acknowledge\didnt_understand,11.wav,没听清,没听清,I didn't catch that
\voice\acknowledge\didnt_understand,12.wav,再说一遍,再说一遍,pardon
\voice\acknowledge\didnt_understand,13.wav,抱歉老兄，没听清,抱歉老兄，没听清,"sorry, mate, I didn't catch that"
\voice\acknowledge\didnt_understand,14.wav,不行，我听不到你,不行，我听不到你,"ah, no, I just can't hear you"
\voice\acknowledge\didnt_understand,2.wav,请重复,请重复,"repeat, please"
\voice\acknowledge\didnt_understand,3.wav,没听懂,没听懂,didn't understand that
\voice\acknowledge\didnt_understand,4.wav,再说一遍,再说一遍,say again
\voice\acknowledge\didnt_understand,5.wav,请重复,请重复,"repeat, please"
\voice\acknowledge\didnt_understand,6.wav,没听清,没听清,I didn't catch that
\voice\acknowledge\didnt_understand,7.wav,你信号断了,你信号断了,now you're breaking up
\voice\acknowledge\didnt_understand,8.wav,信号断断续续，再说一遍,信号断断续续，再说一遍,"you're breaking up, say again please"
\voice\acknowledge\didnt_understand,9.wav,听不到你，老兄,听不到你，老兄,"can't hear you, mate"
\voice\acknowledge\fill_the_tank,1.wav,好的，我们将加油,好的，我们将加油,"OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,2.wav,好的，我们将加油,好的，我们将加油,"OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,3.wav,好的，我们将加油,好的，我们将加油,"OK, we'll fill the tank"
\voice\acknowledge\fill_the_tank,4.wav,好的，我们将加油,好的，我们将加油,"OK, we'll fill the tank"
\voice\acknowledge\fuel_to_end,1.wav,好的，我们会把油加到满,好的，我们会把油加到满,"ok, we'll fill you to the end"
\voice\acknowledge\fuel_to_end,2_op_prefix_ok.wav,我们会为你加到最后,我们会为你加到最后,we'll fuel you to the end
\voice\acknowledge\fuel_to_end,3_op_prefix_ok.wav,我们会为你加到比赛结束,我们会为你加到比赛结束,we'll fill you to the end of the race
\voice\acknowledge\fuel_to_end,4_op_prefix_ok.wav,我们会为你加到比赛结束,我们会为你加到比赛结束,we'll fuel you to the end of the race
\voice\acknowledge\fuel_to_end,5_op_prefix_ok.wav,我们会为你加到比赛结束,我们会为你加到比赛结束,we'll fuel you to the end of the race
\voice\acknowledge\keepQuietDisabled,1.wav,好的，我们会保持更新,好的，我们会保持更新,"okay, we'll keep you posted"
\voice\acknowledge\keepQuietDisabled,2.wav,明白，我会随时告诉你,明白，我会随时告诉你,"understood, I'll keep you informed"
\voice\acknowledge\keepQuietDisabled,3.wav,收到，我会随时告诉你,收到，我会随时告诉你,"acknowledged, I'll keep you up to date"
\voice\acknowledge\keepQuietEnabled,1.wav,好的，不再更新,好的，不再更新,"okay, no more updates"
\voice\acknowledge\keepQuietEnabled,2.wav,好的，我保持安静,好的，我保持安静,"okay, I'll keep quiet"
\voice\acknowledge\keepQuietEnabled,3.wav,好的，我就不打扰了,好的，我就不打扰了,"okay, I'll leave you to it"
\voice\acknowledge\keep_quiet_in_corners_disabled,1.wav,收到，一圈中的任何点都可以报点,收到，一圈中的任何点都可以报点,"acknowledged, calls at any point during the lap"
\voice\acknowledge\keep_quiet_in_corners_disabled,2.wav,收到，有任何情况会报点,收到，有任何情况会报点,"copy that, we'll give call at any point"
\voice\acknowledge\keep_quiet_in_corners_disabled,3.wav,明白了，我们会在这圈的任何时候发出这些通知,明白了，我们会在这圈的任何时候发出这些通知,"understood, we'll give those calls at any point during the lap"
\voice\acknowledge\keep_quiet_in_corners_disabled,4.wav,收到，任何阶段都可以通话,收到，任何阶段都可以通话,"acknowledged, calls at any point in the lap"
\voice\acknowledge\keep_quiet_in_corners_enabled,1.wav,明白了，我在弯道保持安静,明白了，我在弯道保持安静,"understood, I'll keep quiet in the corners"
\voice\acknowledge\keep_quiet_in_corners_enabled,2.wav,收到，不再在弯道内通话,收到，不再在弯道内通话,"acknowledged, no more calls in the corners"
\voice\acknowledge\keep_quiet_in_corners_enabled,3.wav,好的，我会尽量在制动区减少通话,好的，我会尽量在制动区减少通话,"okay, I'll try to minimize the calls in the braking zones"
\voice\acknowledge\keep_quiet_in_corners_enabled,4.wav,好的，只在直道上报点,好的，只在直道上报点,"okay, call only on the straights"
\voice\acknowledge\no,1.wav,不,不,no
\voice\acknowledge\no,2.wav,不,不,no
\voice\acknowledge\no,3.wav,不,不,no
\voice\acknowledge\no,4.wav,不,不,no
\voice\acknowledge\no_data,1.wav,我们没有那个数据,我们没有那个数据,we don't have that data
\voice\acknowledge\no_data,2.wav,我们没有那个数据,我们没有那个数据,we haven't got that data
\voice\acknowledge\no_data,3.wav,我们没有足够的数据,我们没有足够的数据,we don't have enough data for that
\voice\acknowledge\no_data,4.wav,我们没有那个数据,我们没有那个数据,we haven't got that data
\voice\acknowledge\no_data,5.wav,我们没有数据,我们没有数据,we don't have the data
\voice\acknowledge\no_more_data,1.wav,我们没有更多数据了,我们没有更多数据了,we don't have any more data
\voice\acknowledge\no_more_data,2.wav,我们没有更多信息,我们没有更多信息,we have no more information
\voice\acknowledge\no_more_data,3.wav,我们没有更多数据了,我们没有更多数据了,we don't have any more data
\voice\acknowledge\pit_strategy_1,23.wav,已选择一号进站策略,已选择一号进站策略,pit strategy 1 selected
\voice\acknowledge\pit_strategy_2,24.wav,已选择二号进站策略,已选择二号进站策略,pit strategy 2 selected
\voice\acknowledge\pit_strategy_3,25.wav,已选择三号进站策略,已选择三号进站策略,pit strategy 3 selected
\voice\acknowledge\pit_strategy_4,26.wav,已选择四号进站策略,已选择四号进站策略,pit strategy 4 selected
\voice\acknowledge\radio_check,1_op_prefix_ok.wav,好的，听得见,好的，听得见,"yeah, I can hear you"
\voice\acknowledge\radio_check,2_op_prefix_ok.wav,我能听到你,我能听到你,I can hear you
\voice\acknowledge\radio_check,3.wav,好的，我听到了,好的，我听到了,"yes, I can hear you"
\voice\acknowledge\spotterDisabled,1.wav,好的，不再发送观察员报点,好的，不再发送观察员报点,"okay, no more spotter calls"
\voice\acknowledge\spotterDisabled,2.wav,好的，没有观察员报点,好的，没有观察员报点,"okay, no spotter calls"
\voice\acknowledge\spotterDisabled,3.wav,好的，不报位置,好的，不报位置,"okay, no spot calls"
\voice\acknowledge\spotterDisabled_Billy,1.wav,好的，不再为你提供赛车手报点,好的，不再为你提供赛车手报点,"all right, no more spotter calls for you"
\voice\acknowledge\spotterDisabled_Billy,2.wav,好的，不再报点,好的，不再报点,"okay, no more spotting"
\voice\acknowledge\spotterDisabled_Billy,3.wav,好的，我退出,好的，我退出,"all right, I'm out"
\voice\acknowledge\spotterDisabled_Billy,4.wav,行，回见,行，回见,"all right, peace"
\voice\acknowledge\spotterDisabled_Billy,5.wav,好的，祝你好运，自己玩得开心,好的，祝你好运，自己玩得开心,"okay, good luck, have fun on your own"
\voice\acknowledge\spotterDisabled_Clare,1.wav,好的，不再报点了，克莱,好的，不再报点了，克莱,"okay, no more spotter calls, please, Clare"
\voice\acknowledge\spotterDisabled_Clare,2.wav,收到，不再报点了，克莱,收到，不再报点了，克莱,"acknowledged, no more spot calls, please, Clare"
\voice\acknowledge\spotterDisabled_Clare,3.wav,好的，不再报点了，克莱,好的，不再报点了，克莱,"okay, no more spotter calls, please, Clare"
\voice\acknowledge\spotterDisabled_Clare,4.wav,好的，不再报点了，克莱,好的，不再报点了，克莱,"okay, no more spot calls, Clare"
\voice\acknowledge\spotterDisabled_Florian,1.wav,好的，不再发送观察员报点,好的，不再发送观察员报点,"okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,10.wav,好的，知道了，我闭嘴,好的，知道了，我闭嘴,"okay, understood, I will shut up"
\voice\acknowledge\spotterDisabled_Florian,2.wav,好的，不再进行观察员报点,好的，不再进行观察员报点,"okay, no more spotter call"
\voice\acknowledge\spotterDisabled_Florian,3.wav,好的，不再发送观察员报点,好的，不再发送观察员报点,"okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,4.wav,好的，不再发送观察员报点,好的，不再发送观察员报点,"okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,5.wav,好的，不再发送观察员报点,好的，不再发送观察员报点,"okay, no more spotter calls"
\voice\acknowledge\spotterDisabled_Florian,6.wav,好的，不进行观察员报点,好的，不进行观察员报点,"okay, no spotter call"
\voice\acknowledge\spotterDisabled_Florian,7.wav,好的，没有观察员报点,好的，没有观察员报点,"okay, no spotter calls"
\voice\acknowledge\spotterDisabled_Florian,8.wav,好的，好的，我闭嘴,好的，好的，我闭嘴,"okay, okay, I will shut up"
\voice\acknowledge\spotterDisabled_Florian,9.wav,好的，我从现在起不再说话,好的，我从现在起不再说话,"okay, I will be quiet from here on"
\voice\acknowledge\spotterDisabled_Geoffrey,1.wav,好的，不再发送观察员报点,好的，不再发送观察员报点,"okay, no more spotter calls"
