audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\battery\about_to_run_out,1.wav,"this battery is about to run out, mate","this battery is about to run out, mate","this battery is about to run out, mate"
\voice\battery\about_to_run_out,2.wav,"this battery is had it, it's about to run out","this battery is had it, it's about to run out","this battery is had it, it's about to run out"
\voice\battery\about_to_run_out,3.wav,this battery is pretty much done,this battery is pretty much done,this battery is pretty much done
\voice\battery\battery_use_increasing,1.wav,your battery use is increasing,your battery use is increasing,your battery use is increasing
\voice\battery\battery_use_increasing,2.wav,your energy use is increasing,your energy use is increasing,your energy use is increasing
\voice\battery\battery_use_increasing,3.wav,your battery use is increasing,your battery use is increasing,your battery use is increasing
\voice\battery\battery_use_reducing,1.wav,your battery use is dropping,your battery use is dropping,your battery use is dropping
\voice\battery\battery_use_reducing,2.wav,your battery use is reducing,your battery use is reducing,your battery use is reducing
\voice\battery\battery_use_reducing,3.wav,your energy use is reducing,your energy use is reducing,your energy use is reducing
\voice\battery\battery_use_stable,1.wav,your battery use is now stable,your battery use is now stable,your battery use is now stable
\voice\battery\battery_use_stable,2.wav,your battery use is stable,your battery use is stable,your battery use is stable
\voice\battery\battery_use_stable,3.wav,your battery use is stabilized,your battery use is stabilized,your battery use is stabilized
\voice\battery\critical_battery,1.wav,your battery is almost empty,your battery is almost empty,your battery is almost empty
\voice\battery\critical_battery,2.wav,the battery is really low,the battery is really low,the battery is really low
\voice\battery\critical_battery,3.wav,the battery level is really low,the battery level is really low,the battery level is really low
\voice\battery\critical_battery,4.wav,"critical battery level, we're really low on energy","critical battery level, we're really low on energy","critical battery level, we're really low on energy"
\voice\battery\current_charge_should_make_end,1.wav,you should be able to make it to the end on this charge,you should be able to make it to the end on this charge,you should be able to make it to the end on this charge
\voice\battery\current_charge_should_make_end,2.wav,your current charge level should last to the end of the race,your current charge level should last to the end of the race,your current charge level should last to the end of the race
\voice\battery\current_charge_should_make_end,3.wav,we think you'll make it to the end on your current charge,we think you'll make it to the end on your current charge,we think you'll make it to the end on your current charge
\voice\battery\current_charge_should_make_half_distance,1.wav,should be able to reach the middle of the race on the current charge,should be able to reach the middle of the race on the current charge,should be able to reach the middle of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,2.wav,should be able to make the midpoint of the race on the current charge,should be able to make the midpoint of the race on the current charge,should be able to make the midpoint of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,3.wav,the current charge should last you to the midpoint of the race,the current charge should last you to the midpoint of the race,the current charge should last you to the midpoint of the race
\voice\battery\five_minutes_battery,1.wav,there's about 5 minutes left in this battery,there's about 5 minutes left in this battery,there's about 5 minutes left in this battery
\voice\battery\five_minutes_battery,2.wav,we've got about 5 more minutes on this battery,we've got about 5 more minutes on this battery,we've got about 5 more minutes on this battery
\voice\battery\five_minutes_battery,3.wav,this battery will last about 5 more minutes,this battery will last about 5 more minutes,this battery will last about 5 more minutes
\voice\battery\four_laps_battery,1.wav,we got 4 laps of battery power left,we got 4 laps of battery power left,we got 4 laps of battery power left
\voice\battery\four_laps_battery,2.wav,there's about 4 laps left in the battery,there's about 4 laps left in the battery,there's about 4 laps left in the battery
\voice\battery\four_laps_battery,3.wav,the battery will last about 4 more laps,the battery will last about 4 more laps,the battery will last about 4 more laps
\voice\battery\half_charge_warning,1.wav,we got half our battery charge remaining,we got half our battery charge remaining,we got half our battery charge remaining
\voice\battery\half_charge_warning,2.wav,the battery is now at half power,the battery is now at half power,the battery is now at half power
\voice\battery\half_charge_warning,3.wav,"we got half the battery power left, now","we got half the battery power left, now","we got half the battery power left, now"
\voice\battery\half_distance_good_battery,1.wav,"half distance, the battery looks good, we'll make it to the end","half distance, the battery looks good, we'll make it to the end","half distance, the battery looks good, we'll make it to the end"
\voice\battery\half_distance_good_battery,2.wav,"half distance, the battery power looks okay","half distance, the battery power looks okay","half distance, the battery power looks okay"
\voice\battery\half_distance_good_battery,3.wav,"that's half distance, the battery looks good, we think we'll make it to the end","that's half distance, the battery looks good, we think we'll make it to the end","that's half distance, the battery looks good, we think we'll make it to the end"
\voice\battery\half_distance_good_battery,4.wav,"half distance, we should have enough power to get to the end","half distance, we should have enough power to get to the end","half distance, we should have enough power to get to the end"
\voice\battery\half_distance_low_battery,1.wav,"that's half distance, at this rate we won't make it to the end on this charge","that's half distance, at this rate we won't make it to the end on this charge","that's half distance, at this rate we won't make it to the end on this charge"
\voice\battery\half_distance_low_battery,2.wav,"that's half distance, we haven't got enough energy to get to the end","that's half distance, we haven't got enough energy to get to the end","that's half distance, we haven't got enough energy to get to the end"
\voice\battery\half_distance_low_battery,3.wav,"that's half distance, we don't have enough energy to get to the end","that's half distance, we don't have enough energy to get to the end","that's half distance, we don't have enough energy to get to the end"
\voice\battery\half_distance_low_battery,4.wav,"that's half distance, we'll be out of battery before the end","that's half distance, we'll be out of battery before the end","that's half distance, we'll be out of battery before the end"
\voice\battery\increase_battery_use_easily_make_end,1.wav,"you can increase your battery usage now, we've got plenty of energy to get us to the end","you can increase your battery usage now, we've got plenty of energy to get us to the end","you can increase your battery usage now, we've got plenty of energy to get us to the end"
\voice\battery\increase_battery_use_easily_make_end,2.wav,"we've got plenty of battery to make the end, you can increase your energy usage","we've got plenty of battery to make the end, you can increase your energy usage","we've got plenty of battery to make the end, you can increase your energy usage"
\voice\battery\increase_battery_use_easily_make_end,3.wav,"increase your energy usage, we've got plenty of energy to spare, we'll make it to the end","increase your energy usage, we've got plenty of energy to spare, we'll make it to the end","increase your energy usage, we've got plenty of energy to spare, we'll make it to the end"
\voice\battery\increase_battery_use_easily_make_half_distance,1.wav,"you can increase your energy usage, we have more than we need to make it to the midpoint","you can increase your energy usage, we have more than we need to make it to the midpoint","you can increase your energy usage, we have more than we need to make it to the midpoint"
\voice\battery\increase_battery_use_easily_make_half_distance,2.wav,"we have more than enough energy to make half distance, you can increase your battery usage","we have more than enough energy to make half distance, you can increase your battery usage","we have more than enough energy to make half distance, you can increase your battery usage"
\voice\battery\increase_battery_use_easily_make_half_distance,3.wav,"increase your battery usage, we've got more than enough energy to make half distance","increase your battery usage, we've got more than enough energy to make half distance","increase your battery usage, we've got more than enough energy to make half distance"
\voice\battery\laps,1.wav,laps,laps,laps
\voice\battery\laps,2.wav,laps,laps,laps
\voice\battery\laps,3.wav,laps,laps,laps
\voice\battery\laps,4.wav,laps,laps,laps
\voice\battery\laps_remaining,1.wav,laps of energy remaining,laps of energy remaining,laps of energy remaining
\voice\battery\laps_remaining,2.wav,laps of charge remaining,laps of charge remaining,laps of charge remaining
