audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\battery\about_to_run_out,1.wav,这台车的电量快要耗尽了，伙计,这台车的电量快要耗尽了，伙计,"this battery is about to run out, mate"
\voice\battery\about_to_run_out,2.wav,这电池快没电了,这电池快没电了,"this battery is had it, it's about to run out"
\voice\battery\about_to_run_out,3.wav,这台车的电量差不多要耗尽了,这台车的电量差不多要耗尽了,this battery is pretty much done
\voice\battery\battery_use_increasing,1.wav,您的电量使用在增加,您的电量使用在增加,your battery use is increasing
\voice\battery\battery_use_increasing,2.wav,你的能量使用正在增加,你的能量使用正在增加,your energy use is increasing
\voice\battery\battery_use_increasing,3.wav,您的电量使用在增加,您的电量使用在增加,your battery use is increasing
\voice\battery\battery_use_reducing,1.wav,您的电量使用正在减少,您的电量使用正在减少,your battery use is dropping
\voice\battery\battery_use_reducing,2.wav,您的电量正在减少,您的电量正在减少,your battery use is reducing
\voice\battery\battery_use_reducing,3.wav,你的能量使用在减少,你的能量使用在减少,your energy use is reducing
\voice\battery\battery_use_stable,1.wav,您的电量使用现在稳定,您的电量使用现在稳定,your battery use is now stable
\voice\battery\battery_use_stable,2.wav,您的电量使用稳定,您的电量使用稳定,your battery use is stable
\voice\battery\battery_use_stable,3.wav,您的电量使用已稳定,您的电量使用已稳定,your battery use is stabilized
\voice\battery\critical_battery,1.wav,您的电量几乎耗尽,您的电量几乎耗尽,your battery is almost empty
\voice\battery\critical_battery,2.wav,电量真的很低,电量真的很低,the battery is really low
\voice\battery\critical_battery,3.wav,电量真的很低,电量真的很低,the battery level is really low
\voice\battery\critical_battery,4.wav,电量 critically 低，能量非常不足,电量 critically 低，能量非常不足,"critical battery level, we're really low on energy"
\voice\battery\current_charge_should_make_end,1.wav,你应该能在当前电量到达终点,你应该能在当前电量到达终点,you should be able to make it to the end on this charge
\voice\battery\current_charge_should_make_end,2.wav,您的当前电量应该足以支撑到比赛结束,您的当前电量应该足以支撑到比赛结束,your current charge level should last to the end of the race
\voice\battery\current_charge_should_make_end,3.wav,我们认为你在当前电量下能跑到终点,我们认为你在当前电量下能跑到终点,we think you'll make it to the end on your current charge
\voice\battery\current_charge_should_make_half_distance,1.wav,当前电量应该能够跑到比赛半程,当前电量应该能够跑到比赛半程,should be able to reach the middle of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,2.wav,当前电量应该能够跑到比赛半程,当前电量应该能够跑到比赛半程,should be able to make the midpoint of the race on the current charge
\voice\battery\current_charge_should_make_half_distance,3.wav,当前的电量应该足够你跑到比赛的一半,当前的电量应该足够你跑到比赛的一半,the current charge should last you to the midpoint of the race
\voice\battery\five_minutes_battery,1.wav,这个电池还剩大约五分钟,这个电池还剩大约五分钟,there's about 5 minutes left in this battery
\voice\battery\five_minutes_battery,2.wav,我们这组电池大约还有五分钟,我们这组电池大约还有五分钟,we've got about 5 more minutes on this battery
\voice\battery\five_minutes_battery,3.wav,这电池还能持续大约五分钟左右,这电池还能持续大约五分钟左右,this battery will last about 5 more minutes
\voice\battery\four_laps_battery,1.wav,我们还剩四圈电量,我们还剩四圈电量,we got 4 laps of battery power left
\voice\battery\four_laps_battery,2.wav,电量还剩大约四圈,电量还剩大约四圈,there's about 4 laps left in the battery
\voice\battery\four_laps_battery,3.wav,电量还能坚持大约四圈,电量还能坚持大约四圈,the battery will last about 4 more laps
\voice\battery\half_charge_warning,1.wav,我们还剩一半的电量,我们还剩一半的电量,we got half our battery charge remaining
\voice\battery\half_charge_warning,2.wav,电量现在为半满,电量现在为半满,the battery is now at half power
\voice\battery\half_charge_warning,3.wav,现在电量还剩一半,现在电量还剩一半,"we got half the battery power left, now"
\voice\battery\half_distance_good_battery,1.wav,半程了，电量看起来不错，我们可以坚持到终点,半程了，电量看起来不错，我们可以坚持到终点,"half distance, the battery looks good, we'll make it to the end"
\voice\battery\half_distance_good_battery,2.wav,半程距离，电量看起来还好,半程距离，电量看起来还好,"half distance, the battery power looks okay"
\voice\battery\half_distance_good_battery,3.wav,这是半程距离，电量看起来不错，我们认为可以坚持到终点,这是半程距离，电量看起来不错，我们认为可以坚持到终点,"that's half distance, the battery looks good, we think we'll make it to the end"
\voice\battery\half_distance_good_battery,4.wav,半程了，电量应该足够支撑到终点,半程了，电量应该足够支撑到终点,"half distance, we should have enough power to get to the end"
\voice\battery\half_distance_low_battery,1.wav,这是半程距离，照这样下去，这轮电量无法跑到终点,这是半程距离，照这样下去，这轮电量无法跑到终点,"that's half distance, at this rate we won't make it to the end on this charge"
\voice\battery\half_distance_low_battery,2.wav,这是半程距离，我们的能量不足以到达终点,这是半程距离，我们的能量不足以到达终点,"that's half distance, we haven't got enough energy to get to the end"
\voice\battery\half_distance_low_battery,3.wav,这是半程距离，我们的能量不足以到达终点,这是半程距离，我们的能量不足以到达终点,"that's half distance, we don't have enough energy to get to the end"
\voice\battery\half_distance_low_battery,4.wav,这是半程，我们在比赛结束前就会没电,这是半程，我们在比赛结束前就会没电,"that's half distance, we'll be out of battery before the end"
\voice\battery\increase_battery_use_easily_make_end,1.wav,你现在可以增加电量使用，我们有足够的能量坚持到比赛结束,你现在可以增加电量使用，我们有足够的能量坚持到比赛结束,"you can increase your battery usage now, we've got plenty of energy to get us to the end"
\voice\battery\increase_battery_use_easily_make_end,2.wav,我们有足够的电量来完成比赛，你可以增加能量使用,我们有足够的电量来完成比赛，你可以增加能量使用,"we've got plenty of battery to make the end, you can increase your energy usage"
\voice\battery\increase_battery_use_easily_make_end,3.wav,增加你的能量使用，我们有足够的能量可以节省，我们会坚持到终点,增加你的能量使用，我们有足够的能量可以节省，我们会坚持到终点,"increase your energy usage, we've got plenty of energy to spare, we'll make it to the end"
\voice\battery\increase_battery_use_easily_make_half_distance,1.wav,你可以增加能量使用，我们比到达中点所需的能量多,你可以增加能量使用，我们比到达中点所需的能量多,"you can increase your energy usage, we have more than we need to make it to the midpoint"
\voice\battery\increase_battery_use_easily_make_half_distance,2.wav,我们有足够的能量跑完半程距离，你可以增加电量使用,我们有足够的能量跑完半程距离，你可以增加电量使用,"we have more than enough energy to make half distance, you can increase your battery usage"
\voice\battery\increase_battery_use_easily_make_half_distance,3.wav,增加电量使用，我们有足够的能量跑完半程,增加电量使用，我们有足够的能量跑完半程,"increase your battery usage, we've got more than enough energy to make half distance"
\voice\battery\laps,1.wav,圈,圈,laps
\voice\battery\laps,2.wav,圈,圈,laps
\voice\battery\laps,3.wav,圈,圈,laps
\voice\battery\laps,4.wav,圈,圈,laps
\voice\battery\laps_remaining,1.wav,剩余的能量圈数,剩余的能量圈数,laps of energy remaining
\voice\battery\laps_remaining,2.wav,还剩多少圈电量,还剩多少圈电量,laps of charge remaining
\voice\battery\laps_remaining,3.wav,电量剩余圈数,电量剩余圈数,laps remaining in the battery
\voice\battery\low_battery,1.wav,电量低,电量低,we're low on charge
\voice\battery\low_battery,2.wav,电量低,电量低,the battery level is low
\voice\battery\low_battery,3.wav,电量看起来很低了，现在,电量看起来很低了，现在,"the battery level is looking pretty low, now"
\voice\battery\minutes,1.wav,分钟,分钟,minutes
\voice\battery\minutes,2.wav,分钟,分钟,minutes
\voice\battery\minutes,3.wav,分钟,分钟,minutes
\voice\battery\minutes,4.wav,分钟,分钟,minutes
\voice\battery\minutes_remaining,1.wav,剩余充电时间分钟,剩余充电时间分钟,minutes of charge remaining
\voice\battery\minutes_remaining,2.wav,剩余的能量分钟,剩余的能量分钟,minutes of energy remaining
\voice\battery\minutes_remaining,3.wav,电池剩余分钟数,电池剩余分钟数,minutes left in the battery
\voice\battery\on_last_lap_you_used,1.wav,在最后一圈你使用了,在最后一圈你使用了,on last lap you used
\voice\battery\on_last_lap_you_used,2.wav,你在最后一圈使用了,你在最后一圈使用了,on your last lap you used
\voice\battery\on_last_lap_you_used,3.wav,在最后一圈你使用了,在最后一圈你使用了,on the last lap you used
\voice\battery\one_lap_battery,1.wav,还剩一圈电量,还剩一圈电量,one lap of battery power left
\voice\battery\one_lap_battery,2.wav,我们当前的电量还剩一圈,我们当前的电量还剩一圈,one lap left on our current charge
\voice\battery\one_lap_battery,3.wav,这个电量还剩一圈,这个电量还剩一圈,there's one lap left in this battery
\voice\battery\percent,1.wav,百分比,百分比,percent
\voice\battery\percent,2.wav,百分比,百分比,percent
\voice\battery\percent,3.wav,百分比,百分比,percent
\voice\battery\percent_of_your_battery,1.wav,您的电量百分比,您的电量百分比,percent of your battery
\voice\battery\percent_of_your_battery,2.wav,您的能量百分比,您的能量百分比,percent of your energy
\voice\battery\percent_of_your_battery,3.wav,剩余电量的百分比,剩余电量的百分比,percent of your remaining battery
\voice\battery\percent_of_your_battery,4.wav,您的电量百分比,您的电量百分比,percent of your battery
\voice\battery\percent_per_lap,1.wav,每圈的百分比,每圈的百分比,percent per lap
\voice\battery\percent_per_lap,2.wav,每圈的百分比,每圈的百分比,percent per lap
\voice\battery\percent_per_lap,3.wav,每圈的百分比,每圈的百分比,percent per lap
\voice\battery\percent_remaining,1.wav,剩余电量百分比,剩余电量百分比,percent of charge remaining
\voice\battery\percent_remaining,2.wav,剩余百分比,剩余百分比,percent remaining
\voice\battery\percent_remaining,3.wav,剩余电量百分比,剩余电量百分比,percent battery remaining
\voice\battery\percent_remaining,4.wav,剩余电量百分比,剩余电量百分比,percent battery remaining
\voice\battery\plenty_of_battery,1.wav,电量充足,电量充足,plenty of battery
\voice\battery\plenty_of_battery,2.wav,电池电量充足,电池电量充足,the battery's has got plenty of charge in it
\voice\battery\plenty_of_battery,3.wav,你有足够的电池能量,你有足够的电池能量,you got plenty of battery energy
\voice\battery\plenty_of_battery,4.wav,你有很多能量,你有很多能量,you got loads of energy
\voice\battery\plenty_of_battery,5.wav,电量充足,电量充足,plenty of battery
\voice\battery\reduce_battery_use_to_make_end,1.wav,你需要减少电量使用才能坚持到比赛结束,你需要减少电量使用才能坚持到比赛结束,you'll need to reduce your battery use if you're going to make it to the end
\voice\battery\reduce_battery_use_to_make_end,2.wav,你必须减少电量使用，否则无法跑到终点,你必须减少电量使用，否则无法跑到终点,you won't make it to the end unless you reduce your battery use
\voice\battery\reduce_battery_use_to_make_end,3.wav,你需要降低电量使用以撑到比赛结束,你需要降低电量使用以撑到比赛结束,you'll need to drop your battery use to make it to the end of the race
\voice\battery\reduce_battery_use_to_make_half_distance,1.wav,你需要减少电量使用以行驶到半程,你需要减少电量使用以行驶到半程,you'll need to reduce your battery use to reach half distance
\voice\battery\reduce_battery_use_to_make_half_distance,2.wav,你需要减少电量使用，才能跑到比赛半程,你需要减少电量使用，才能跑到比赛半程,you'll need to drop your battery use if you're going to make mid point of the race
\voice\battery\reduce_battery_use_to_make_half_distance,3.wav,你需要减少电量使用以到达半程点,你需要减少电量使用以到达半程点,you'll need to reduce your battery use to reach the halfway point
\voice\battery\ten_minutes_battery,1.wav,这个电池大约还剩十分钟,这个电池大约还剩十分钟,there's about 10 minutes left in this battery
\voice\battery\ten_minutes_battery,2.wav,电量将在大约十分钟内耗尽,电量将在大约十分钟内耗尽,we'll be out of battery in about 10 minutes
\voice\battery\ten_minutes_battery,3.wav,我们还剩大约十分钟的电量,我们还剩大约十分钟的电量,we got about 10 minutes of charge left
\voice\battery\three_laps_battery,1.wav,我们有足够的电量完成三圈,我们有足够的电量完成三圈,we got enough power for 3 more laps
\voice\battery\three_laps_battery,2.wav,我们认为电量将在还剩三圈时耗尽,我们认为电量将在还剩三圈时耗尽,we think we'll be out of battery in 3 laps
\voice\battery\three_laps_battery,3.wav,我们还剩大约三圈电量,我们还剩大约三圈电量,we got about 3 laps left in the battery
\voice\battery\two_laps_battery,1.wav,我们估计这个电池还剩两圈,我们估计这个电池还剩两圈,we think about 2 laps left in this battery
\voice\battery\two_laps_battery,2.wav,我们现在有足够的电量跑两圈,我们现在有足够的电量跑两圈,we got enough power for 2 laps now
\voice\battery\two_laps_battery,3.wav,电池还剩两圈,电池还剩两圈,2 laps remaining in the battery
\voice\battery\two_minutes_battery,1.wav,我们有足够的电量再跑两分钟,我们有足够的电量再跑两分钟,we got enough charge for 2 more minutes
\voice\battery\two_minutes_battery,2.wav,电量将在两分钟后耗尽,电量将在两分钟后耗尽,we'll be out of battery in 2 minutes
\voice\battery\two_minutes_battery,3.wav,我们这个电池还剩两分钟,我们这个电池还剩两分钟,we've got 2 minutes left in this battery
