audio_path,audio_filename,subtitle,text_for_tts,original_english
\voice\numbers\0,1.wav,零,零,0
\voice\numbers\1,1.wav,一,一,1
\voice\numbers\2,1.wav,二,二,2
\voice\numbers\3,1.wav,三,三,3
\voice\numbers\4,1.wav,四,四,4
\voice\numbers\5,1.wav,五,五,5
\voice\numbers\6,1.wav,六,六,6
\voice\numbers\7,1.wav,七,七,7
\voice\numbers\8,1.wav,八,八,8
\voice\numbers\9,1.wav,九,九,9
\voice\numbers\10,1.wav,十,十,10
\voice\numbers\11,1.wav,十一,十一,11
\voice\numbers\12,1.wav,十二,十二,12
\voice\numbers\13,1.wav,十三,十三,13
\voice\numbers\14,1.wav,十四,十四,14
\voice\numbers\15,1.wav,十五,十五,15
\voice\numbers\16,1.wav,十六,十六,16
\voice\numbers\17,1.wav,十七,十七,17
\voice\numbers\18,1.wav,十八,十八,18
\voice\numbers\19,1.wav,十九,十九,19
\voice\numbers\20,1.wav,二十,二十,20
\voice\numbers\21,1.wav,二十一,二十一,21
\voice\numbers\22,1.wav,二十二,二十二,22
\voice\numbers\23,1.wav,二十三,二十三,23
\voice\numbers\24,1.wav,二十四,二十四,24
\voice\numbers\25,1.wav,二十五,二十五,25
\voice\numbers\26,1.wav,二十六,二十六,26
\voice\numbers\27,1.wav,二十七,二十七,27
\voice\numbers\28,1.wav,二十八,二十八,28
\voice\numbers\29,1.wav,二十九,二十九,29
\voice\numbers\30,1.wav,三十,三十,30
\voice\numbers\31,1.wav,三十一,三十一,31
\voice\numbers\32,1.wav,三十二,三十二,32
\voice\numbers\33,1.wav,三十三,三十三,33
\voice\numbers\34,1.wav,三十四,三十四,34
\voice\numbers\35,1.wav,三十五,三十五,35
\voice\numbers\36,1.wav,三十六,三十六,36
\voice\numbers\37,1.wav,三十七,三十七,37
\voice\numbers\38,1.wav,三十八,三十八,38
\voice\numbers\39,1.wav,三十九,三十九,39
\voice\numbers\40,1.wav,四十,四十,40
\voice\numbers\41,1.wav,四十一,四十一,41
\voice\numbers\42,1.wav,四十二,四十二,42
\voice\numbers\43,1.wav,四十三,四十三,43
\voice\numbers\44,1.wav,四十四,四十四,44
\voice\numbers\45,1.wav,四十五,四十五,45
\voice\numbers\46,1.wav,四十六,四十六,46
\voice\numbers\47,1.wav,四十七,四十七,47
\voice\numbers\48,1.wav,四十八,四十八,48
\voice\numbers\49,1.wav,四十九,四十九,49
\voice\numbers\50,1.wav,五十,五十,50
\voice\numbers\51,1.wav,五十一,五十一,51
\voice\numbers\52,1.wav,五十二,五十二,52
\voice\numbers\53,1.wav,五十三,五十三,53
\voice\numbers\54,1.wav,五十四,五十四,54
\voice\numbers\55,1.wav,五十五,五十五,55
\voice\numbers\56,1.wav,五十六,五十六,56
\voice\numbers\57,1.wav,五十七,五十七,57
\voice\numbers\58,1.wav,五十八,五十八,58
\voice\numbers\59,1.wav,五十九,五十九,59
\voice\numbers\60,1.wav,六十,六十,60
\voice\numbers\61,1.wav,六十一,六十一,61
\voice\numbers\62,1.wav,六十二,六十二,62
\voice\numbers\63,1.wav,六十三,六十三,63
\voice\numbers\64,1.wav,六十四,六十四,64
\voice\numbers\65,1.wav,六十五,六十五,65
\voice\numbers\66,1.wav,六十六,六十六,66
\voice\numbers\67,1.wav,六十七,六十七,67
\voice\numbers\68,1.wav,六十八,六十八,68
\voice\numbers\69,1.wav,六十九,六十九,69
\voice\numbers\70,1.wav,七十,七十,70
\voice\numbers\71,1.wav,七十一,七十一,71
\voice\numbers\72,1.wav,七十二,七十二,72
\voice\numbers\73,1.wav,七十三,七十三,73
\voice\numbers\74,1.wav,七十四,七十四,74
\voice\numbers\75,1.wav,七十五,七十五,75
\voice\numbers\76,1.wav,七十六,七十六,76
\voice\numbers\77,1.wav,七十七,七十七,77
\voice\numbers\78,1.wav,七十八,七十八,78
\voice\numbers\79,1.wav,七十九,七十九,79
\voice\numbers\80,1.wav,八十,八十,80
\voice\numbers\81,1.wav,八十一,八十一,81
\voice\numbers\82,1.wav,八十二,八十二,82
\voice\numbers\83,1.wav,八十三,八十三,83
\voice\numbers\84,1.wav,八十四,八十四,84
\voice\numbers\85,1.wav,八十五,八十五,85
\voice\numbers\86,1.wav,八十六,八十六,86
\voice\numbers\87,1.wav,八十七,八十七,87
\voice\numbers\88,1.wav,八十八,八十八,88
\voice\numbers\89,1.wav,八十九,八十九,89
\voice\numbers\90,1.wav,九十,九十,90
\voice\numbers\91,1.wav,九十一,九十一,91
\voice\numbers\92,1.wav,九十二,九十二,92
\voice\numbers\93,1.wav,九十三,九十三,93
\voice\numbers\94,1.wav,九十四,九十四,94
\voice\numbers\95,1.wav,九十五,九十五,95
\voice\numbers\96,1.wav,九十六,九十六,96
\voice\numbers\97,1.wav,九十七,九十七,97
\voice\numbers\98,1.wav,九十八,九十八,98
\voice\numbers\99,1.wav,九十九,九十九,99
\voice\numbers\01,1.wav,零一,零一,01
\voice\numbers\02,1.wav,零二,零二,02
\voice\numbers\03,1.wav,零三,零三,03
\voice\numbers\04,1.wav,零四,零四,04
\voice\numbers\05,1.wav,零五,零五,05
\voice\numbers\06,1.wav,零六,零六,06
\voice\numbers\07,1.wav,零七,零七,07
\voice\numbers\08,1.wav,零八,零八,08
\voice\numbers\09,1.wav,零九,零九,09
\voice\numbers\point,1.wav,点,点,point
\voice\numbers\hundred,1.wav,百,百,hundred
\voice\numbers\thousand,1.wav,千,千,thousand
\voice\numbers\ten_thousand,1.wav,万,万,ten_thousand
\voice\numbers\oh,1.wav,零,零,oh
\voice\numbers\liang,1.wav,两,两,liang
\voice\numbers\minus,1.wav,负,负,minus
\voice\numbers\zerozero,1.wav,零零,零零,zerozero
\voice\numbers\double_oh,1.wav,零零零,零零零,double_oh
\voice\numbers\hour,1.wav,小时,小时,hour
\voice\numbers\hours,1.wav,小时,小时,hours
\voice\numbers\minute,1.wav,分,分,minute
\voice\numbers\minutes,1.wav,分钟,分钟,minutes
\voice\numbers\second,1.wav,秒,秒,second
\voice\numbers\seconds,1.wav,秒,秒,seconds
\voice\numbers\tenth,1.wav,秒,秒,tenth
\voice\numbers\tenths,1.wav,秒,秒,tenths
\voice\numbers\1_hours,1.wav,一小时,一小时,1_hours
\voice\numbers\2_hours,1.wav,两小时,两小时,2_hours
\voice\numbers\1_minute,1.wav,一分,一分,1_minute
\voice\numbers\2_minute,1.wav,两分,两分,2_minute
\voice\numbers\1_minutes,1.wav,一分钟,一分钟,1_minutes
\voice\numbers\2_minutes,1.wav,两分钟,两分钟,2_minutes
\voice\numbers\1_seconds,1.wav,一秒,一秒,1_seconds
\voice\numbers\2_seconds,1.wav,两秒,两秒,2_seconds
\voice\numbers\1_thousand,1.wav,一千,一千,1_thousand
\voice\numbers\2_thousand,1.wav,两千,两千,2_thousand
\voice\numbers\1_ten_thousand,1.wav,一万,一万,1_ten_thousand
\voice\numbers\2_ten_thousand,1.wav,两万,两万,2_ten_thousand
