section,key,zh,english
preferences,no_help_provided,,No help provided
preferences,trainee_chief_path,,Trainee chief
preferences,acs_install_path,,ACS install path
preferences,ace_install_path,,AC EVO install path
preferences,ams_install_path,,AMS install path
preferences,rf1_install_path,,rF1 install path
preferences,asr_install_path,,ASR install path
preferences,rf2_install_path,,rF2 install path
preferences,lmu_install_path,,Le Mans Ultimate install path
preferences,rbr_install_path,,RBR install path
preferences,gtr2_install_path,,GTR 2 install path
preferences,f1_2018_install_path,,F1 2018 install path
preferences,acc_install_path,,ACC install path
preferences,acc_machine_ip,,IP address for the machine ACC is running on
preferences,ace_machine_ip,,IP address for the machine ACE is running on
preferences,f1_2019_install_path,,F1 2019 install path
preferences,override_default_sound_pack_location,,Override default Sound Pack location
preferences,enable_brake_damage_messages,,Enable brake damage messages
preferences,enable_acs_log_sectors_for_unknown_tracks,,Enable ACS log sectors for unknown tracks
preferences,enable_ace_log_sectors_for_unknown_tracks,,Enable ACE log sectors for unknown tracks
preferences,enable_brake_lock_warnings,,Enable brake lock warnings
preferences,enable_brake_temp_warnings,,Enable brake temp warnings
preferences,enable_damage_messages,,Enable damage messages
preferences,enable_driver_names,,Enable driver names
preferences,enable_drs_messages,,Enable DRS messages
preferences,enable_drs_beeps,,Enable DRS beeps
preferences,enable_fuel_messages,,Enable fuel messages
preferences,enable_battery_messages,,Enable battery messages
preferences,enable_gap_messages,,Enable gap messages
preferences,gap_message_randomness,,Randomness of all gap ahead/behind messages
preferences,enable_green_light_messages,,Enable green light messages
preferences,enable_pearls_of_wisdom,,Enable pearls of wisdom
preferences,enable_pit_exit_brake_temp_warning,,Enable pit exit brake temp warning
preferences,enable_pit_exit_tyre_temp_warning,,Enable pit exit tyre temp warning
preferences,enable_position_messages,,Enable position messages
preferences,enable_push_to_pass_messages,,Enable push to pass messages
preferences,enable_race_start_messages,,Enable race start messages
preferences,enable_session_end_messages,,Enable session end messages
preferences,enable_spotter_in_timetrial,,Enable Spotter in timetrial
preferences,enable_suspension_damage_messages,,Enable suspension damage messages
preferences,enable_track_and_air_temp_reports,,Enable track and air temp reports
preferences,enable_tyre_temp_warnings,,Enable tyre temp warnings
preferences,enable_tyre_wear_warnings,,Enable tyre wear warnings
preferences,enable_wheel_spin_warnings,,Enable wheelspin warnings
preferences,enable_tyre_dirt_pickup_warnings,,Enable tyre dirt pickup warnings
preferences,attempt_pcars_opponent_pit_detection,,Attempt pCARS opponent pit detection
preferences,cache_sounds,,Cache sounds
preferences,disable_acs_yellow_flag_warnings,,Disable ACS yellow flag warnings
preferences,disable_ace_yellow_flag_warnings,,Disable ACE yellow flag warnings
preferences,disable_pcars_prac_and_qual_pole_deltas,,Disable pCARS prac and qual pole deltas
preferences,launch_acs,,Launch ACS
preferences,launch_ace,,Launch AC EVO
preferences,play_cut_track_warnings,,Play cut track warnings
preferences,spotter_enable_three_wide_left_and_right,,Spotter enable three wide left and right
preferences,use_alternate_beeps,,Use alternate beeps
